id,created_at,text
711695334834085889,2016-03-20 23:26:05,Teacher - https://t.co/oz1MbLnuDN https://t.co/aohIYtwoQc
711315642733957121,2016-03-19 22:17:19,Live from Galveston https://t.co/13cuV6pamh
711248002900303872,2016-03-19 17:48:32,And #DataScience Wins. Unfortunately.

711212959805120513,2016-03-19 15:29:17,Weird feeling when you are playing against your own predictions #WT20 #pakvsind #iccworldcup2016 https://t.co/Az1wPmyldE
711212004934074368,2016-03-19 15:25:30,India has 6 times more chances to win - https://t.co/IcoGv7uCU6 #WT20 #glennmcgrath11 @glennmcgrath11
711121134410977280,2016-03-19 09:24:25,"WT20 - Pakistan Vs India and Data Sciences - https://t.co/IcoGv7uCU6 #WT20, #IndVsPak #T20"
711089055140864000,2016-03-19 07:16:56,https://t.co/8ZYElW8AcM
711073573755080704,2016-03-19 06:15:25,Wondering if Pakistani PM has the courage to say this in Public :-( https://t.co/psDtQOjpNJ
711043660071231488,2016-03-19 04:16:33,"Dr. Sahib, there should be a good reference, a source or Sifarish you have that you get to places where we can't.... https://t.co/SHXC9BOWz4"
710986895795331072,2016-03-19 00:31:00,Papri Chat. A different style #houston https://t.co/GXs6R48EMS
710983719306334208,2016-03-19 00:18:22,Only in #houston https://t.co/LKeszVKlWN
710928794811547653,2016-03-18 20:40:07,"Team India is #DataScience Favorite. They are 6 times more likely to Win tomorrow. But heart says, it will be Pakistan :-) #WT20 #PakVsInd"
710653889419350017,2016-03-18 02:27:45,Kulfi Shop https://t.co/x94aDS9kLk
710645086443405312,2016-03-18 01:52:46,https://t.co/cXK5LbWCCv
710644942008414208,2016-03-18 01:52:11,You are right from your view point but your viewpoint is wrong. Preparing for my board meeting :-)
710638583183511553,2016-03-18 01:26:55,Jamia Masjid Houston https://t.co/39u0AzHJIA
710569254425333760,2016-03-17 20:51:26,#houston https://t.co/nVnqiZuyu7
710558192569294848,2016-03-17 20:07:29,Do Read - https://t.co/CESn1PpB7E https://t.co/b2rOv2pvAV
710556687011287044,2016-03-17 20:01:30,A good read - https://t.co/XT6ZaL0glA Oz... https://t.co/IezBobUgb6
710324444082937856,2016-03-17 04:38:39,Imran Aziz Mian goes live at #SXSW #usembislamabad #usefpakistan #qawwali https://t.co/GTeJg9tbo2
710299030702596096,2016-03-17 02:57:40,Mai Naima goes live at #SXSW #usembislamabad #usefpakistan #pakistan https://t.co/Gwl49jiKiq
710294454213722112,2016-03-17 02:39:29,Allan Faqir goes live at #SXSW #pakistan #usembislamabad https://t.co/dM9SPwnrTo
710289718144008192,2016-03-17 02:20:40,Pakistan with Allan Faqir #SXSW https://t.co/0SgUmoKWSP
710287625517666304,2016-03-17 02:12:21,Allan Faqir Live at #SXSW https://t.co/s2rYqMjtoT
710282951238488064,2016-03-17 01:53:46,Allah hi Allah live at #SXSW https://t.co/6f9MX0Fzzf
710281112619077632,2016-03-17 01:46:28,Mast Qalander live at #SXSW https://t.co/wcccDYD0E6
710278917538578432,2016-03-17 01:37:44,Pak show live at # SXSW https://t.co/A1ljXy8S3l
